"oxygen tolerance","pH optimum","salinity optimum","temperature optimum","doubling time","genome size","GC content","gene density","proportion free living","biosynthetic clusters","proportion_RS_genomes","Uncultivated"
0,6.88585825129288,1.16900303886723,50.012673194834,14.57271,2072888.066605,0.45,1.09201849220092,0,0,0,"Uncultivated"
0,8.01670573326041,3.65026719448957,49.0012676175337,11.48202,1610964.86412298,0.535,1.2613511653062,0,0,0,"Uncultivated"
0,6.83134218866038,4.12824488144428,46.8911125565467,11.13837,1554894.16143289,0.41,1.13022833454759,1,0,0,"Uncultivated"
1,7.76750362756806,6.6924033048219,42.7518532786405,9.90048,2551116.16515046,0.34,1.04785429887712,1,3,0,"Uncultivated"
0,7.52359950124823,3.25161750666444,45.7686867333393,13.847066,2252934.97757848,0.41,1.08212479351199,1,1,0,"Uncultivated"
1,6.6680372653392,3.1605864364859,43.1851638258663,5.859623,2496412.50413497,0.66,1.2270336990362,1,0,0,"Uncultivated"
1,6.02056845669718,2.90185467765247,37.0962097253029,3.49745466666667,2519363.45246123,0.72,1.02777783725566,1,2,0,"Uncultivated"
1,6.84590280716568,2.09438478363697,42.9557037380745,6.291379,2953391.12725672,0.72,1.12807387509616,1,0,0,"Uncultivated"
1,6.71200335030949,3.53164962219962,43.03431280582,5.52882557142857,3046608.94495413,0.72,1.11898112432619,1,3,0,"Uncultivated"
0,6.99003819403364,3.89136416099254,54.0164331142165,17.1175866666667,1800464.62955211,0.52,1.1089644782636,1,0,0,"Uncultivated"
0,6.7460990050495,2.80881016829371,54.3167041414304,6.4623825,1169741.16534689,0.46,1.09593544299282,0,0,0,"Uncultivated"
0,6.89077841107663,2.26693238473103,47.3617195349276,10.9906366666667,1683007.92763492,0.55,1.03612135259649,1,0,0,"Uncultivated"
1,6.89107459917953,2.62683752736176,44.4549021520844,5.53997283333333,2367722.6443769,0.675,1.02366654796379,1,1,0,"Uncultivated"
0,6.57561764616742,2.06580347080376,43.9338767615872,6.524199,2005095.46539379,0.67,1.28922732656061,1,0,0,"Uncultivated"
0,6.15964612848303,2.31171841749638,46.5743850356373,7.25554158518519,2138827.20979766,0.65,1.11303260664606,1,1,0,"Uncultivated"
0,3.11648401796249,4.75658359414174,41.4859092393883,8.53128,1788160.9613984,0.47,1.26265454789839,1,0,0,"Uncultivated"
0,6.86311089335596,1.8311652734542,44.8167889327795,11.1709825,1898448.33938628,0.565,0.960600679869179,1,0,0,"Uncultivated"
0,7.18560900733534,3.22374208520687,43.0105891001708,11.908365,2137554.92270138,0.575,1.1145752274313,1,0,0,"Uncultivated"
0,7.18431292774189,3.36807530870813,40.3144098143354,12.9639552,1825687.23849372,0.58,0.961873696111097,1,0,0,"Uncultivated"
0,7.28070413752311,3.26560843391288,40.0850671963918,10.30562,1702959.33632531,0.6,1.16995398447196,1,0,0,"Uncultivated"
1,4.8177830748375,0,37.2701644198087,4.10414316666667,2208683.09128631,0.69,0.937055868744141,1,0,0,"Uncultivated"
0,5.87011002238701,1.83480465549665,48.5167632851105,6.864818,1938783.60703386,0.67,1.15585532169433,1,0,0,"Uncultivated"
0,5.23468630777818,0.194759005864437,47.7343077056322,5.42459379220779,1799995.53571429,0.69,1.01908234688318,1,1,0,"Uncultivated"
0,5.54816267904751,2.05542194165179,40.7484569010296,29.8152581818182,2198017.15265866,0.52,1.18159748574542,1,1,0,"Uncultivated"
0,5.55226218293413,2.40520943915035,43.9940342892864,18.93037,1735678.83474195,0.51,1.15497368204874,1,0,0,"Uncultivated"
0,6.50195611555111,1.6694125847737,47.5926748278424,29.3346023333333,1618794.32028231,0.54,1.22993597105673,1,0,0,"Uncultivated"
0,6.06248376818076,2.72448265625428,46.4165328892417,19.360132962963,2288247.46145167,0.51,1.14954650917528,1,0,0,"Uncultivated"
0,6.86508478202656,4.80464091922128,45.1895540802129,13.89146,1715817.3461231,0.52,1.18449327098341,1,0,0,"Uncultivated"
0,6.57925053875906,5.7672476420184,46.1167129178349,19.39885,1360235.82333697,0.37,1.18352208556434,1,0,0,"Uncultivated"
0,6.55192657270991,3.08456072017098,47.5518596036515,19.14085,1064211.50810733,0.44,1.20272527839989,1,0,0,"Uncultivated"
0,5.57995122069384,1.37840526201335,59.8782487747122,47.01201,2068695.30170428,0.46,1.10048033360046,1,0,0,"Uncultivated"
0,7.62097626283999,3.59984088734791,60.942931767184,10.80879,1054820.94724682,0.5,1.23751081453035,1,0,0,"Uncultivated"
0,7.22169091659733,2.7803483092269,38.2024937525911,14.49445,4122115.26479751,0.34,1.42155488327908,1,0,0,"Uncultivated"
0,6.49305672187975,3.00848483615898,53.7701284170625,22.1423775,1396444.65740297,0.46,1.13686171857207,1,0,0,"Uncultivated"
0,9.5851588824905,0.480332956767058,61.1686140161198,19.50955,1284912.12653779,0.46,1.24057090881735,1,0,0,"Uncultivated"
0,5.87787701877254,0.912614810553146,48.5896958856633,54.303255,2526076.89827503,0.46,1.07949134111603,1,0,0,"Uncultivated"
0,6.37113522060184,2.15443475609826,55.8034736103377,22.2861425,1860202.78508631,0.465,1.08196038527805,1,0,0,"Uncultivated"
0,5.82436732456938,1.41438980978934,49.255102907006,13.4616442857143,2126814.21671112,0.435,1.15661293392081,1,1,0,"Uncultivated"
0,6.63440170399777,1.0801920305388,48.0602972380772,40.799435882353,2051728.19902078,0.45,1.13623019770272,1,2,0,"Uncultivated"
0,6.35890196209652,0.382657920300387,51.6236541014265,16.91746,1717907.12884238,0.49,1.12499428936909,1,0,0,"Uncultivated"
0,7.72990438535939,4.80339136995639,58.7422187292943,21.8197,2647267.5337304,0.585,1.11983662705696,1,1,0,"Uncultivated"
0,7.36429659567879,3.84409757685876,59.5525781828665,18.5515833333333,2380626.20159297,0.6,1.1971812386307,1,0,0,"Uncultivated"
0,7.20597036668232,1.81483581247776,56.5416239294178,15.37065,2079884.48209472,0.53,1.19905852615157,1,0,0,"Uncultivated"
0,4.36361100006731,0.845035156018186,49.7734408625567,26.2110785,2200028.54207101,0.49,1.01725949612422,1,0,0,"Uncultivated"
0,4.86878335638854,2.58799867683354,38.351654841361,13.8799081818182,2879055.95946244,0.46,0.98419506514936,1,0,0,"Uncultivated"
0,6.56703238944482,5.04765379739439,49.5775803105424,31.8146525,1819869.97012827,0.49,1.214770311991,1,0,0,"Uncultivated"
0,7.44455291991589,1.94871169965852,31.6361594653923,11.1557353870968,1345118.75908871,0.34,1.31895541639813,1,1,0,"Uncultivated"
0,7.28702711700526,3.68392048706281,37.3626832447995,11.0851433333333,1550319.38325991,0.34,1.25295848154727,1,1,0,"Uncultivated"
0,7.51779881147627,4.28437083754852,32.5094366982591,11.8644185714286,1767438.36055075,0.34,1.21044708949549,1,0,0,"Uncultivated"
0,7.27489768872996,0.297552118732593,38.9400199330354,11.57205,1186841.58415842,0.375,1.25652912934168,0,0,0,"Uncultivated"
0,7.02130865508297,2.62614911456724,33.7181456411509,9.61106133333333,2063113.023709,0.33,1.33303819377872,1,1,0.0857142857142857,"Cultivated representative"
0,7.23494052261225,4.18923112690055,31.8202207377848,7.20078571052632,1388667.29088639,0.34,1.27669172993732,1,1,0.0958083832335329,"Cultivated representative"
0,4.77873522858477,3.14653669336948,35.0960142018535,10.7314034642857,1445420.67680844,0.38,1.2617134908505,1,1,0.2,"Cultivated representative"
0,6.65424358445988,3.07370411263469,34.5811004228427,10.6810248461538,1726582.77404922,0.41,1.23648229056048,1,1,0.176470588235294,"Cultivated representative"
0,5.37305459009298,2.9726003988105,32.7675393586111,10.3219359375,1601448.66589327,0.35,1.33767777816784,1,1,0,"Uncultivated"
0,7.07530700955238,2.12017853141851,33.7065883238234,12.2378466666667,1228123.01930279,0.36,1.29180313874267,1,1,0,"Uncultivated"
0,7.0975678155444,3.84596598881016,37.0481365070057,12.57248,1133248.21161204,0.365,1.28242502822373,1,0,0,"Uncultivated"
